symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sz300001,300001,特锐德,21.99,0.34,1.57,21.98,21.99,21.65,21.03,22.24,20.91,21455166,466531559,15:00:03,81.444,5.103,2193656.594925,2077446.881943,2.27105
sz300002,300002,神州泰岳,6.71,-0.16,-2.329,6.7,6.71,6.87,6.59,6.85,6.48,127702089,850679439,15:00:03,-8.926,3.716,1315892.721264,1093591.160706,7.8354800000000004
sz300003,300003,乐普医疗,34.85,0.55,1.603,34.85,34.86,34.3,33.65,35.04,33.56,20668357,714439267,15:00:03,35.758,7.95,6209060.429685,5280360.169835,1.3641
sz300004,300004,南风股份,5.55,0.0,0.0,5.55,5.56,5.55,5.45,5.58,5.43,2109200,11623846,15:00:03,138.75,1.361,266396.44689,232330.546335,0.50385
sz300005,300005,探路者,3.84,-0.05,-1.285,3.84,3.85,3.89,3.79,3.95,3.76,10246360,39477859,15:00:03,30.0,1.4060000000000001,339341.639424,271227.753984,1.45066
sz300006,300006,莱美药业,5.72,0.24,4.38,5.72,5.73,5.48,5.42,5.75,5.35,37172749,208555080,15:00:03,-29.932,2.983,464601.96926,384012.004948,5.53702
sz300007,300007,汉威科技,13.46,-0.08,-0.591,13.45,13.46,13.54,13.25,13.54,13.25,7069000,94717733,15:00:03,-38.457,2.875,394408.696876,324939.390402,2.9282
sz300008,300008,天海防务,3.11,-0.07,-2.201,3.11,3.12,3.18,3.06,3.13,3.02,32875850,101430973,15:00:03,-8.333,7.073,298565.033535,231081.519223,4.42458
sz300009,300009,安科生物,14.43,0.22,1.548,14.43,14.44,14.21,13.8,14.58,13.76,39004421,560036823,15:00:03,120.25,5.596,1970254.833495,1371792.62532,4.10291
sz300010,300010,立思辰,15.88,-0.3,-1.854,15.87,15.88,16.18,15.81,16.24,15.78,13968781,222794971,15:00:03,451.136,4.293,1378899.539436,1155192.985176,1.9202400000000002
sz300011,300011,鼎汉技术,5.69,-0.04,-0.698,5.69,5.7,5.73,5.7,5.73,5.63,2285153,12960903,15:00:03,74.476,1.646,317872.070203,267831.978016,0.48547
sz300012,300012,华测检测,18.36,0.64,3.612,18.35,18.36,17.72,17.23,18.45,17.21,22963880,416791879,15:00:03,63.883,9.555,3054003.710904,2770595.651736,1.52176
sz300013,300013,新宁物流,6.22,0.26,4.362,6.21,6.22,5.96,5.86,6.56,5.82,17720900,112361363,15:00:03,-4.785,3.46,277839.38553,254418.029022,4.3324
sz300014,300014,亿纬锂能,41.81,-0.44,-1.041,41.8,41.81,42.25,41.42,43.34,41.41,50630759,2155989263,15:00:03,25.494,5.191,7694817.782105,7429708.804494,2.8492
sz300015,300015,爱尔眼科,41.96,0.54,1.304,41.96,42.21,41.42,40.92,42.6,40.87,22597197,950465145,15:00:03,93.912,19.46,16897940.68062,13920985.40588,0.6811100000000001
sz300016,300016,北陆药业,10.62,0.27,2.609,10.62,10.63,10.35,10.22,10.78,10.17,26476638,278228067,15:00:03,15.171,3.552,525216.853512,430395.377454,6.53311
sz300017,300017,网宿科技,8.8,0.69,8.508,8.8,8.81,8.11,7.94,8.92,7.93,231914605,1989090180,15:00:03,880.0,2.468,2141933.73152,1942386.9036,10.50691
sz300018,300018,中元股份,5.6,-0.09,-1.582,5.6,5.61,5.69,5.55,5.64,5.55,8327490,46663550,15:00:03,56.0,2.597,270209.82016,219262.73992,2.12685
sz300019,300019,硅宝科技,9.66,-0.26,-2.621,9.65,9.66,9.92,9.8,9.8,9.61,2731729,26477825,15:00:03,24.296,3.542,319651.284666,263186.180292,1.00266
sz300020,300020,银江股份,10.22,-0.22,-2.107,10.22,10.23,10.44,10.19,10.38,10.12,21639527,221395260,15:00:03,44.435,2.004,670216.445892,627557.875644,3.52407
sz300021,300021,大禹节水,4.51,-0.08,-1.743,4.5,4.51,4.59,4.49,4.56,4.46,14854898,67040858,15:00:03,28.188,2.438,359609.669837,292440.581059,2.2909100000000002
sz300022,300022,吉峰科技,4.08,0.03,0.741,4.08,4.09,4.05,3.98,4.11,3.95,15906434,64521962,15:00:03,-10.857,21.818,155138.07504,140861.157072,4.6072500000000005
sz300023,300023,宝德股份,10.94,0.39,3.697,10.94,10.95,10.55,10.25,11.38,10.25,9739523,105942306,15:00:03,-8.894,7.133,345820.81185,157983.275336,6.74441
sz300024,300024,机器人,13.31,0.13,0.986,13.3,13.31,13.18,12.98,13.31,12.87,21391212,280548023,15:00:03,70.911,3.183,2076678.930227,2013265.697927,1.4142000000000001
sz300025,300025,华星创业,4.58,-0.03,-0.651,4.57,4.58,4.61,4.53,4.63,4.49,6286713,28654193,15:00:03,-9.182,4.398,196266.997396,182808.195656,1.57505
sz300026,300026,红日药业,5.21,0.01,0.192,5.2,5.21,5.2,5.07,5.32,5.01,76664582,399877832,15:00:03,37.214,2.268,1565972.220077,1386470.400995,2.88086
